capture_date,capture_url,senador_impreso,distrito_impreso,bloque_impreso
1998-02-02,https://web.archive.org/web/19980202090052id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/miranda.html,JULIO ANTONIO MIRANDA,Provincia de Tucumán,Justicialista
1998-02-02,https://web.archive.org/web/19980202090240id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/smillan.html,JULIO ARGENTINO SAN MILLÁN,Provincia de Salta,Justicialista
1998-02-02,https://web.archive.org/web/19980202085912id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/humada.html,JULIO CÉSAR HUMADA,Provincia de Misiones,Justicialista
1998-02-02,https://web.archive.org/web/19980202085734id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/bravo.html,LEOPOLDO BRAVO,Provincia de San Juan,Bloquista de la Provincia de San Juan
1998-02-02,https://web.archive.org/web/19980202085930id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/leon.html,LUIS LEÓN,Provincia del Chaco,Unión Cívica Radical
1998-02-02,https://web.archive.org/web/19980202085938id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/mlosada.html,MARIO ANIBAL LOSADA,Provincia de Misiones,Unión Cívica Radical
1998-02-02,https://web.archive.org/web/19980202090350id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/vaquir.html,OMAR MUHAMAD VAQUIR,Provincia de Santiago del Estero,Justicialista
1998-02-02,https://web.archive.org/web/19980202090224id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/sala.html,OSVALDO RUBÉN SALA,Provincia del Chubut,Justicialista
1998-02-02,https://web.archive.org/web/19980202085831id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/piero.html,PEDRO DEL PIERO,Ciudad Autónoma de Buenos Aires,Fre.Pa.So
1998-02-02,https://web.archive.org/web/19980202085847id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/galvan.html,RAÚL ALFREDO GALVÁN,Provincia de La Rioja,Unión Cívica Radical
1998-02-02,https://web.archive.org/web/19980202085807id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/costanzo.html,REMO JOSÉ COSTANZO,Provincia de Río Negro,Justicialista
1998-02-02,https://web.archive.org/web/19980202085726id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/branda.html,RICARDO ALBERTO BRANDA,Provincia de Formosa,Justicialista
1998-02-02,https://web.archive.org/web/19980202090324id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/ulloa1.html,ROBERTO AUGUSTO ULLOA,Provincia de Salta,Renovador de Salta
1998-02-02,https://web.archive.org/web/19980202090140id_/http://www.senado.gov.ar:80/cgi-bin/filtro?/senadores/preto.html,RUGGERO PRETO,Provincia de Tierra del Fuego,Movimiento Popular Fueguino
