pdf,pages,status,before,after
2014-07-02_r10_ORDINARIA.pdf,107,fixed,"dad de Los Toldos, Buenos Aires. (O.D. N 242/14.) Capital Nacional del Hidrógeno","dad de Los Toldos, Buenos Aires. (O.D. Nº 242/14.) Capital Nacional del Hidrógeno"
2014-07-02_r10_ORDINARIA.pdf,107,fixed,"uncado, provincia de Santa Cruz. (O.D. N 118/14.) ","uncado, provincia de Santa Cruz. (O.D. Nº 118/14.) "
2014-07-02_r10_ORDINARIA.pdf,110,fixed,s”. La fecha mencionada en el artículo 1 queda incorporada al calendario de acto,s”. La fecha mencionada en el artículo 1º queda incorporada al calendario de acto
2014-07-02_r10_ORDINARIA.pdf,112,fixed,"olvorines, Río Negro. (S.-4.248/13.) 204 Aniversario de la creación del Ejército","olvorines, Río Negro. (S.-4.248/13.) 204º Aniversario de la creación del Ejército"
2014-07-02_r10_ORDINARIA.pdf,113,fixed,el Ejército Argentino. (S.-1.573/14.) 25 Congreso Mundial de Espina Bífida e Hid,el Ejército Argentino. (S.-1.573/14.) 25º Congreso Mundial de Espina Bífida e Hid
2014-07-02_r10_ORDINARIA.pdf,113,fixed, de la Escuela Particular Incorporada N. 1.054 y N., de la Escuela Particular Incorporada N.º 1.054 y N.
2014-07-02_r10_ORDINARIA.pdf,113,fixed, 1.054 y N. 8.060 “Teodelina Fernández de Alvear”. , 1.054 y N.º 8.060 “Teodelina Fernández de Alvear”. 
2014-07-02_r10_ORDINARIA.pdf,136,fixed,"ionado”. Cabe destacar que el artículo 4 del libro segundo, título II, “De los c","ionado”. Cabe destacar que el artículo 4º del libro segundo, título II, “De los c"
2014-07-02_r10_ORDINARIA.pdf,136,fixed,"es a los empleados públicos”, capítulo 5“Insubordinación de los empleados públic","es a los empleados públicos”, capítulo 5º,“Insubordinación de los empleados públic"
2014-07-02_r10_ORDINARIA.pdf,137,fixed,"eguridad Interior, 24.059. El artículo 2 de la citada norma define como segurida","eguridad Interior, 24.059. El artículo 2º de la citada norma define como segurida"
2014-07-02_r10_ORDINARIA.pdf,138,fixed,eron lugar al amparo. El considerando 12 del fallo de la Corte expresa,eron lugar al amparo. El considerando 12º del fallo de la Corte expresa
2014-07-02_r10_ORDINARIA.pdf,30,fixed,"a, provincia de Buenos Aires, Fiscalía N 2. ","a, provincia de Buenos Aires, Fiscalía Nº 2. "
2014-07-02_r10_ORDINARIA.pdf,31,fixed,dad numérica en telefonía móvil. (O.D. N 165/14.) Instalación del servicio de te,dad numérica en telefonía móvil. (O.D. Nº 165/14.) Instalación del servicio de te
2014-07-02_r10_ORDINARIA.pdf,31,fixed," en Palermo, provincia de Salta. (O.D. N 166/14.) Preocupación por las fallas en"," en Palermo, provincia de Salta. (O.D. Nº 166/14.) Preocupación por las fallas en"
2014-07-02_r10_ORDINARIA.pdf,31,fixed,eas de la provincia de La Pampa. (O.D. N 167/14.) ,eas de la provincia de La Pampa. (O.D. Nº 167/14.) 
