session,seq,type,speaker,pdf,pages,as_recorded,as_the_page_reads
2008-05-14_r07,294,heading,,2008-05-14_r07_ORDINARIA.pdf,50,V o t a c i ó n N o m i n a l,VotaciónNominal
2008-07-16_r11,310,speech,Sra. Estenssoro,2008-07-16_r11_ORDINARIA.pdf,149 150 151 152,L a s o l u c i ó n l a,Lasoluciónla
2008-07-16_r11,467,heading,,2008-07-16_r11_ORDINARIA.pdf,199,V o t a c i ó n N o m i n a l,VotaciónNominal
2008-07-16_r11,476,heading,,2008-07-16_r11_ORDINARIA.pdf,200,V o t a c i ó n N o m i n a l,VotaciónNominal
2008-07-16_r11,484,heading,,2008-07-16_r11_ORDINARIA.pdf,201,V o t a c i ó n N o m i n a l,VotaciónNominal
2008-07-16_r11,499,heading,,2008-07-16_r11_ORDINARIA.pdf,202,V o t a c i ó n N o m i n a l,VotaciónNominal
2008-09-03_r14,358,heading,,2008-09-03_r14_ORDINARIA.pdf,144,V o t a c i ó n N o m i n a l,VotaciónNominal
2008-09-03_r14,374,heading,,2008-09-03_r14_ORDINARIA.pdf,145,V o t a c i ó n N o m i n a l,VotaciónNominal
2008-09-24_r16,154,heading,,2008-09-24_r16_ORDINARIA.pdf,15,V o t a c i ó n N o m i n a l,VotaciónNominal
2008-09-24_r16,163,heading,,2008-09-24_r16_ORDINARIA.pdf,16,V o t a c i ó n N o m i n a l,VotaciónNominal
2008-12-18_r24,31,speech,Sr. Ríos,2008-12-18_r24_ORDINARIA.pdf,6 7 8 9 10 11,H e m o s r e c u r r i d o a d o s,Hemosrecurridoados
2009-03-01_r00,72,speech,Sra. Presidenta de la Nación,2009-03-01_r00_ASAMBLEA.pdf,14,T e n e r c a l i d a d,Tenercalidad
2009-10-21_r14,554,heading,,2009-10-21_r14_ORDINARIA.pdf,93,V o t a c i ó n N o m i n a l,VotaciónNominal
2009-10-21_r14,561,heading,,2009-10-21_r14_ORDINARIA.pdf,93,V o t a c i ó n N o m i n a l,VotaciónNominal
2009-11-11_r16,325,speech,Sra. Negre de Alonso,2009-11-11_r16_ORDINARIA.pdf,97,E s o e s u n a t e r g i v e r s a c i ó n d e l,Esoesunatergiversacióndel
2009-11-11_r16,360,speech,Sr. Morales,2009-11-11_r16_ORDINARIA.pdf,120 121 122 123 124 125 126,A n t e s,Antes
2009-11-11_r16,360,speech,Sr. Morales,2009-11-11_r16_ORDINARIA.pdf,120 121 122 123 124 125 126,q u i e r o,quiero
2009-11-18_r17,778,heading,,2009-11-18_r17_ORDINARIA.pdf,123,V o t a c i ó n N o m i n a l,VotaciónNominal
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,O R D E N D E L D Í A,ORDENDELDÍA
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,D I C T A M E N E N E L,DICTAMENENEL
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,O Y E C T O D E L E Y T R A N S,OYECTODELEYTRANS
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,R I E N D O A T Í T U L O G R A T U I T O A L A E N T I D A D A G R U,RIENDOATÍTULOGRATUITOALAENTIDADAGRU
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,D E J U L I O D E,DEJULIODE
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,Y B I B L I O T E C A,YBIBLIOTECA
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,L A R R O D O L F O D E D I E G O,LARRODOLFODEDIEGO
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,U D A D D E,UDADDE
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,O N A C I O N A L U B I C A D O E N L A M E N C I O N A D A L O C A L I D A D,ONACIONALUBICADOENLAMENCIONADALOCALIDAD
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,O R D E N D E L D Í A,ORDENDELDÍA
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,D I C T A M E N E N E L,DICTAMENENEL
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,O Y E C T O D E L E Y T R A N S F I R I E N D O A T Í T U L O G R A T U I T O A L A M U N I C I P A L I D A D ,OYECTODELEYTRANSFIRIENDOATÍTULOGRATUITOALAMUNICIPALIDADDEQUEHUÉ
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,P R O V I N C I A D E L A P A M,PROVINCIADELAPAM
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,E L D O M I N I O S O B R E D I V E R S O S I N M U E B L E S Y T E R R E N O S O C I O S O S,ELDOMINIOSOBREDIVERSOSINMUEBLESYTERRENOSOCIOSOS
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,E D A D D E L E S T A D O N A C I O N A L O R D E N D E L D Í A,EDADDELESTADONACIONALORDENDELDÍA
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,D I C T A M E N E N E L,DICTAMENENEL
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,O Y E C T O D E L E Y T R A N S F I R I E N D O A T Í T U L O G R A T U I T O A L A M U N I C I P A L I D A D ,OYECTODELEYTRANSFIRIENDOATÍTULOGRATUITOALAMUNICIPALIDADDEMAURICIOM
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,L A P A M,LAPAM
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,E D I O D E L A E S T A C I Ó N D E L E X F E R R O C A R R I L S A R M I E N T O,EDIODELAESTACIÓNDELEXFERROCARRILSARMIENTO
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,E D A D D E L E S T A D O N A C I O N A L,EDADDELESTADONACIONAL
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,U B I C A D O E N L A M E N C I O N A D A L O C A L I D A D O R D E N D E L D Í A,UBICADOENLAMENCIONADALOCALIDADORDENDELDÍA
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,D I C T A M E N E N E L,DICTAMENENEL
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,O Y E C T O D E L E Y T R A N S F I R I E N D O A T Í T U L O G R A T U I T O A L A M U N I C I P A L I D A D ,OYECTODELEYTRANSFIRIENDOATÍTULOGRATUITOALAMUNICIPALIDADDEGENERALSANMAR
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,P R O V I N C I A D E L A P A M,PROVINCIADELAPAM
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,E L D O M I N I O S O B R E D I V E R S O S I N M U E B L E S Y T E R R E N O S O C I O S O S,ELDOMINIOSOBREDIVERSOSINMUEBLESYTERRENOSOCIOSOS
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,E D A D D E L E S T A D O N A C I O N A L O R D E N D E L D Í A,EDADDELESTADONACIONALORDENDELDÍA
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,D I C T A M E N E N  E L,DICTAMENENEL
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,O Y E C T O D E L E Y T R A N S F I R I E N D O A T Í T U L O G R A T U I T O A L A M U N I C I P A L I D A D ,OYECTODELEYTRANSFIRIENDOATÍTULOGRATUITOALAMUNICIPALIDADDEWINIFREDA
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,D E P A R T A M E N T O D E C O N H E L O,DEPARTAMENTODECONHELO
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,P R O V I N C I A D E L A P A M P A,PROVINCIADELAPAMPA
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,E L D O M I N I O D E D I V E R S O S I N M U E B L E S Y T E R R,ELDOMINIODEDIVERSOSINMUEBLESYTERR
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,E D A D D E L E S T A D O N A C I O N A L U B I C A D O S E N L A M E N C I O N A D A L O C A L I D A D,EDADDELESTADONACIONALUBICADOSENLAMENCIONADALOCALIDAD
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,O R D E N D E L D Í A,ORDENDELDÍA
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,D I C T A M E N E N  E L,DICTAMENENEL
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,O Y E C T O D E L E Y T R A N S F I R I E N D O A T Í T U L O G R A T U I T O A L A P C I A,OYECTODELEYTRANSFIRIENDOATÍTULOGRATUITOALAPCIA
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,R E R Í O S,RERÍOS
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,O E N L A L,OENLAL
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,A L I D A D D E P A R A N Á,ALIDADDEPARANÁ
2009-11-18_r17,780,furniture,,2009-11-18_r17_ORDINARIA.pdf,123,E A L A D I R E C C I Ó N N A C I O N A L D E V Í A S N A V E G A B L E S,EALADIRECCIÓNNACIONALDEVÍASNAVEGABLES
2009-11-18_r17,788,heading,,2009-11-18_r17_ORDINARIA.pdf,124,V o t a c i ó n N o m i n a l,VotaciónNominal
2009-11-18_r17,790,furniture,,2009-11-18_r17_ORDINARIA.pdf,124,O R D E N D E L D Í A,ORDENDELDÍA
2009-11-18_r17,790,furniture,,2009-11-18_r17_ORDINARIA.pdf,124,O R D E N D E L D Í A,ORDENDELDÍA
2009-11-18_r17,790,furniture,,2009-11-18_r17_ORDINARIA.pdf,124,O R D E N D E L D Í A,ORDENDELDÍA
2009-11-18_r17,790,furniture,,2009-11-18_r17_ORDINARIA.pdf,124,O R D E N D E L D Í A,ORDENDELDÍA
2009-11-18_r17,790,furniture,,2009-11-18_r17_ORDINARIA.pdf,124,O R D E N D E L D Í A,ORDENDELDÍA
2009-11-18_r17,790,furniture,,2009-11-18_r17_ORDINARIA.pdf,124,O R D E N D E L D Í A,ORDENDELDÍA
2010-06-30_r13,411,heading,,2010-06-30_r13_ORDINARIA.pdf,59,V o t a c i ó n N o m i n a l,VotaciónNominal
2010-06-30_r13,428,heading,,2010-06-30_r13_ORDINARIA.pdf,62,V o t a c i ó n N o m i n a l,VotaciónNominal
2010-06-30_r13,437,heading,,2010-06-30_r13_ORDINARIA.pdf,63,V o t a c i ó n N o m i n a l,VotaciónNominal
2010-07-14_r14,521,heading,,2010-07-14_r14_ORDINARIA.pdf,171,V o t a c i ó n N o m i n a l,VotaciónNominal
2010-07-14_r14,538,heading,,2010-07-14_r14_ORDINARIA.pdf,172,V o t a c i ó n N o m i n a l,VotaciónNominal
2010-07-14_r14,546,heading,,2010-07-14_r14_ORDINARIA.pdf,173,V o t a c i ó n N o m i n a l,VotaciónNominal
2010-07-14_r14,557,heading,,2010-07-14_r14_ORDINARIA.pdf,174,V o t a c i ó n N o m i n a l,VotaciónNominal
2010-12-22_r25,107,heading,,2010-12-22_r25_ESPECIAL.pdf,23,V o t a c i ó n N o m i n a l,VotaciónNominal
2010-12-22_r25,115,heading,,2010-12-22_r25_ESPECIAL.pdf,24,V o t a c i ó n N o m i n a l,VotaciónNominal
2013-04-18_r05,348,furniture,,2013-04-18_r05_ESPECIAL.pdf,97,V e r e l A p é n d i c e,VerelApéndice
2013-09-04_r14,219,furniture,,2013-09-04_r14_ORDINARIA.pdf,42,V e r e l A p é n d i c e,VerelApéndice
