pdf,section_number,status,before,after
2001-11-14_r71_ORDINARIA.pdf,16,recovered,,16 Promoción del coronel Miguel Angel Moreno - Postergación
2001-11-14_r71_ORDINARIA.pdf,18,recovered,,18 Embajadora extraordinaria y plenipotenciaria
2001-11-14_r71_ORDINARIA.pdf,19,recovered,,19 Embajador extraordinario y plenipotenciario
2001-11-14_r71_ORDINARIA.pdf,20,recovered,,20 Embajador extraordinario y plenipotenciario
2001-11-14_r71_ORDINARIA.pdf,21,recovered,,21 Subsidio para una asociación civil de Formosa
2001-11-14_r71_ORDINARIA.pdf,22,recovered,,22 Pago de asignaciones familiares
2001-11-14_r71_ORDINARIA.pdf,23,recovered,,23 Cobertura del PAMI
2001-11-14_r71_ORDINARIA.pdf,24,recovered,,24 Publicación “Legítima Defensa”
2001-11-14_r71_ORDINARIA.pdf,25,recovered,,25 X Encuentro de Educadores Musicales
2001-11-14_r71_ORDINARIA.pdf,26,recovered,,26 El Parlamento en la Escuela
2001-11-14_r71_ORDINARIA.pdf,27,recovered,,27 Encuentro Federal de Dirigentes Scout Católicos
2001-11-14_r71_ORDINARIA.pdf,28,recovered,,28 Vacunas contra la fiebre hemorrágica argentina
2001-11-14_r71_ORDINARIA.pdf,29,recovered,,29 Prórroga de la vigencia del endoso de los bonos fiscales
2001-11-14_r71_ORDINARIA.pdf,30,recovered,,30 XIV Jornadas Precolombinas
2001-11-14_r71_ORDINARIA.pdf,31,recovered,,31 Repudio al despido de docentes correntinos
2001-11-14_r71_ORDINARIA.pdf,32,recovered,,32 Repudio al ataque que sufrió María Alejandra Bonafini
2001-11-14_r71_ORDINARIA.pdf,33,recovered,,"33 Fundación de la ciudad de Iguazú, Misiones"
2001-11-14_r71_ORDINARIA.pdf,34,recovered,,34 Obra “El arriero altoparanacero”
2001-11-14_r71_ORDINARIA.pdf,35,recovered,,35 XXI Congreso Mundial de Dermatología
2001-11-14_r71_ORDINARIA.pdf,36,recovered,,36 Control de las contaminación hídrica en el río Matanza
2001-11-14_r71_ORDINARIA.pdf,37,recovered,,37 Situación económico-social
2001-11-14_r71_ORDINARIA.pdf,38,recovered,,38 Transferencia de acciones de la concesionaria de Correo Argentino
2001-11-14_r71_ORDINARIA.pdf,39,recovered,,"39 Subsidio para un instituto de Goya, Corrientes"
2001-11-14_r71_ORDINARIA.pdf,40,recovered,,"40 Subsidio para una escuela de Las Tapias, San Juan"
2001-11-14_r71_ORDINARIA.pdf,41,recovered,,"41 Actualización del salario mínimo, vital y móvil"
2001-11-14_r71_ORDINARIA.pdf,42,recovered,,"42 Carrera de locutor nacional que se dicta en Trelew, Chubut"
2001-11-14_r71_ORDINARIA.pdf,43,recovered,,43 Programa nacional de intervención en barrios críticos
2001-11-14_r71_ORDINARIA.pdf,44,recovered,,"44 Rehabilitación del servicio para tramitación de pensiones en General Alvear, Mendoza"
2001-11-14_r71_ORDINARIA.pdf,45,recovered,,45 Volcado de residuos tóxicos en el río Paraná
2001-11-14_r71_ORDINARIA.pdf,46,recovered,,46 Repudio por el homicidio de un sacerdote en Salta
2001-11-14_r71_ORDINARIA.pdf,47,recovered,,47 Refinanciación de la deuda pública
2001-11-14_r71_ORDINARIA.pdf,48,recovered,,48 Integración regional del Mercosur
2001-11-14_r71_ORDINARIA.pdf,49,recovered,,49 Programa de Lucha contra el Granizo en La Rioja
2001-11-14_r71_ORDINARIA.pdf,50,recovered,,"50 Concesión de uso de un inmueble en Resistencia, Chaco"
2001-11-14_r71_ORDINARIA.pdf,51,recovered,,51 II Exposición Industrial del Conurbano Sur
2001-11-14_r71_ORDINARIA.pdf,52,recovered,,52 Subsidio para un hospital de Corrientes
2001-11-14_r71_ORDINARIA.pdf,53,recovered,,53 Modificación de la ley 21.965
